Site_Code,Start_Date,End_Date
cn,2025-02-24,2025-03-25
de,2025-02-20,2025-03-08
es,2025-02-17,2025-03-05
uk,2025-02-19,2025-03-12
sec,2025-02-18,2025-03-17
br,2025-02-25,2025-03-11
mx,2025-02-17,2025-03-11
tr,2025-01-19,2025-02-02
africa_en,2025-01-05,2025-01-23
africa_fr,2025-01-29,2025-02-11
za,2025-03-23,2025-04-06
kz_ru,2025-02-17,2025-03-09
kz_kz,2025-02-17,2025-03-09
mn,2025-01-19,2025-02-08
hk,2025-02-14,2025-03-10
hk_en,2025-02-14,2025-03-10
hr,2025-02-21,2025-03-07
si,2025-02-21,2025-03-07
hu,2025-02-17,2025-03-03
it,2025-02-17,2025-03-16
pl,2025-01-19,2025-02-05
ro,2025-02-19,2025-03-10
ua,2025-01-19,2025-02-10
jp,2025-01-14,2025-02-05
co,2025-02-18,2025-03-22
ar,2025-02-25,2025-03-03
cl,2025-02-20,2025-03-13
latin_en,2025-01-05,2025-01-30
latin,2025-03-04,2025-03-29
py,2025-03-13,2025-03-20
uy,2025-01-23,2025-01-30
pe,2025-02-18,2025-03-20
levant,2025-01-18,2025-01-28
levant_ar,2025-01-18,2025-01-28
pk,2025-01-16,2025-01-31
sa,2025-01-19,2025-02-26
sa_en,2025-01-19,2025-02-26
ae,2025-02-07,2025-02-27
ae_ar,2025-02-07,2025-02-27
ca,2025-02-22,2025-03-21
ca_fr,2025-02-22,2025-03-21
id,2025-02-10,2025-03-05
ph,2025-02-15,2025-03-22
sg,2025-02-19,2025-04-06
my,2025-02-20,2025-04-06
th,2025-02-18,2025-03-17
