Site_Code,Start_Date,End_Date
cn,2025-12-17,2026-01-15
de,2026-01-03,2026-01-19
es,2026-01-02,2026-01-18
uk,2025-12-28,2026-01-18
sec,2026-01-04,2026-01-31
br,2026-01-04,2026-01-18
mx,2025-12-20,2026-01-11
tr,2026-01-04,2026-01-18
africa_en,2025-12-17,2026-01-04
africa_fr,2026-01-15,2026-01-28
za,2025-12-21,2026-01-04
kz_ru,2025-12-29,2026-01-18
kz_kz,2025-12-29,2026-01-18
mn,2025-12-29,2026-01-18
hk,2025-12-13,2026-01-06
hk_en,2025-12-13,2026-01-06
hr,2026-01-04,2026-01-18
si,2026-01-04,2026-01-18
hu,2026-01-04,2026-01-18
it,2025-12-24,2026-01-20
pl,2026-01-01,2026-01-18
ro,2026-01-01,2026-01-20
ua,2025-12-27,2026-01-18
jp,2025-12-22,2026-01-13
co,2025-12-06,2026-01-07
ar,2025-12-29,2026-01-04
cl,2025-12-15,2026-01-05
latin_en,2025-12-10,2026-01-04
latin,2025-12-10,2026-01-04
py,2026-01-15,2026-01-22
uy,2026-01-15,2026-01-22
pe,2025-12-05,2026-01-04
levant,2026-01-07,2026-01-17
levant_ar,2026-01-07,2026-01-17
pk,2025-12-31,2026-01-15
sa,2025-12-11,2026-01-18
sa_en,2025-12-11,2026-01-18
ae,2026-01-02,2026-01-22
ae_ar,2026-01-02,2026-01-22
ca,2025-12-05,2026-01-01
ca_fr,2025-12-05,2026-01-01
id,2025-12-09,2026-01-01
ph,2025-11-30,2026-01-04
sg,2025-11-27,2026-01-12
my,2025-11-20,2026-01-04
th,2025-12-08,2026-01-04
