site_code,currency_code,2026-02-28,2025-02-28
ae,AED,0.272294078,0.272294078
ae_ar,AED,0.272294078,0.272294078
africa_en,ZAR,0.062924881,0.053760504
africa_fr,ZAR,0.062924881,0.053760504
africa_pt,ZAR,0.062924881,0.053760504
al,EUR,1.181464859,1.040103633
ar,ARS,0.000715774,0.000941255
at,EUR,1.181464859,1.040103633
au,AUD,0.711678746,0.620990708
az,AZN,0.587711191,0.588235252
ba,EUR,1.181464859,1.040103633
bd,BDT,0.008175127,0.008231636
be,USD,1,1
be_fr,USD,1,1
bg,EUR,1.181464859,1.040103633
br,BRL,0.194704064,0.16995412
ca,CAD,0.733026101,0.692805827
ca_fr,CAD,0.733026101,0.692805827
ch,CHF,1.299673792,1.108687075
ch_fr,CHF,1.299673792,1.108687075
cl,CLP,0.001144541,0.001043995
cn,CNY,0.14579694,0.137305955
co,COP,0.000266917,0.000241365
cz,CZK,0.048736886,0.041517177
de,USD,1,1
dk,DKK,0.158084529,0.139466796
ee,EUR,1.181464859,1.040103633
eg,EGP,0.021015428,0.019744806
es,USD,1,1
fi,EUR,1.181464859,1.040103633
fr,EUR,1.181464859,1.040103633
ge,GEL,0.374427902,0.358722749
gr,EUR,1.181464859,1.040103633
hk,HKD,1.28E-01,1.29E-01
hk_en,HKD,0.127824506,0.128574593
hr,EUR,1.181464859,1.040103633
hu,HUF,0.003135187,0.002599575
id,IDR,5.96E-05,6.05E-05
ie,EUR,1.181464859,1.040103633
il,ILS,3.19E-01,2.77E-01
in,INR,0.010979066,0.011439651
iq_ar,IQD,0.000763235,0.000762664
iq_ku,IQD,0.000763235,0.000762664
iran,IRR,7.61E-07,2.37E-05
it,EUR,1.181464859,1.040103633
jp,JPY,0.006408078,0.006638578
kz_kz,KZT,2.01E-03,2.00E-03
kz_ru,KZT,2.01E-03,2.00E-03
latin,USD,1.00E+00,1.00E+00
latin_en,USD,1,1
lb,LBP,1.10E-05,1.11E-05
levant,LBP,1.10E-05,1.11E-05
levant_ar,LBP,1.10E-05,1.11E-05
lt,EUR,1.181464859,1.040103633
lv,EUR,1.181464859,1.040103633
mk,EUR,1.181464859,1.040103633
mm,MMK,0.000476166,0.000476563
mn,MNT,0.000280392,0.000288122
mx,MXN,0.05802565,0.048709967
my,MYR,0.25691138,0.224109952
n_africa,USD,1,1
nl,USD,1,1
no,NOK,0.105153217,0.088936577
nz,NZD,0.599519613,0.559955243
pe,PEN,0.298088401,0.271855946
ph,PHP,0.01733249,0.017251585
pk,PKR,0.00357602,0.00357401
pl,PLN,0.279749272,0.250345939
ps,ILS,0.319429093,0.277479638
pt,USD,1,1
py,PYG,0.000155298,0.000126717
ro,RON,0.231828049,0.208979265
rs,EUR,1.181464859,1.040103633
ru,RUB,0.012940131,0.011188058
sa,SAR,0.266666667,0.266666667
sa_en,SAR,0.266666667,0.266666667
se,SEK,0.110728574,0.093231997
sec,KRW,0.000695077,0.000685262
sg,SGD,0.790669422,0.740874795
si,EUR,1.181464859,1.040103633
sk,EUR,1.181464859,1.040103633
th,THB,3.22E-02,2.92E-02
tr,TRY,2.28E-02,2.74E-02
tw,TWD,3.19E-02,3.04E-02
ua,UAH,0.02316671,0.024042322
uk,USD,1,1
us,USD,1,1
uy,UYU,0.026050838,0.023575209
uz_ru,UZS,8.21E-05,7.73E-05
uz_uz,UZS,8.21E-05,7.73E-05
vn,VND,3.90E-05,3.92E-05
za,ZAR,0.062924881,0.053760504
BH,AED,0.272294078,0.272294078
BH_AR,AED,0.272294078,0.272294078
KW,AED,0.272294078,0.272294078
KW_AR,AED,0.272294078,0.272294078
OM,AED,0.272294078,0.272294078
OM_AR,AED,0.272294078,0.272294078
QA,AED,0.272294078,0.272294078
QA_AR,AED,0.272294078,0.272294078
uk_epp,GBP,1.348481103,1.258835229
ku,IQD,0.000763235,0.000762664
