Site_Code,Start_Date,End_Date
ca,2025-02-22,2025-03-18
ca_fr,2025-02-22,2025-03-18
uk,2025-02-19,2025-02-26
de,2025-02-20,2025-02-26
es,2025-02-17,2025-02-24
it,2025-02-17,2025-02-22
ro,2025-02-19,2025-02-24
hu,2025-02-17,2025-02-24
hr,2025-02-21,2025-02-28
si,2025-02-21,2025-02-28
br,2025-02-25,2025-03-04
mx,2025-02-17,2025-03-03
cl,2025-02-20,2025-03-11
co,2025-02-18,2025-03-08
ar,2025-02-25,2025-03-03
latin,2025-03-04,2025-03-25
py,2025-03-13,2025-03-16
pe,2025-02-18,2025-03-11
ph,2025-02-15,2025-03-08
id,2025-02-10,2025-03-05
th,2025-02-18,2025-03-11
my,2025-02-20,2025-03-13
sg,2025-02-19,2025-03-04
ae,2025-02-07,2025-02-10
ae_ar,2025-02-07,2025-02-10
kz_kz,2025-02-17,2025-02-24
kz_ru,2025-02-17,2025-02-24
za,2025-03-23,2025-04-06
cn,2025-02-24,2025-03-06
hk,2025-02-14,2025-03-05
