Site_Code,Start_Date,End_Date
ca,2025-12-08,2026-01-01
ca_fr,2025-12-08,2026-01-01
uk,2026-01-11,2026-01-18
de,2026-01-13,2026-01-19
es,2026-01-11,2026-01-18
it,2026-01-15,2026-01-20
ro,2026-01-15,2026-01-20
pl,2026-01-11,2026-01-18
hu,2026-01-11,2026-01-18
hr,2026-01-11,2026-01-18
si,2026-01-11,2026-01-18
ua,2026-01-11,2026-01-18
br,2026-01-11,2026-01-18
mx,2025-12-28,2026-01-11
cl,2025-12-17,2026-01-05
co,2025-12-20,2026-01-07
ar,2025-12-29,2026-01-04
latin,2025-12-14,2026-01-04
latin_en,2025-12-14,2026-01-04
py,2026-01-19,2026-01-22
uy,2026-01-19,2026-01-22
pe,2025-12-14,2026-01-04
ph,2025-12-14,2026-01-04
id,2025-12-09,2026-01-01
th,2025-12-14,2026-01-04
my,2025-12-14,2026-01-04
sg,2025-12-30,2026-01-12
ae,2026-01-19,2026-01-22
ae_ar,2026-01-19,2026-01-22
tr,2026-01-11,2026-01-18
levant,2026-01-09,2026-01-17
levant_ar,2026-01-09,2026-01-17
sa,2026-01-11,2026-01-18
sa_en,2026-01-11,2026-01-18
pk,2026-01-05,2026-01-15
kz_kz,2026-01-11,2026-01-18
kz_ru,2026-01-11,2026-01-18
mn,2026-01-11,2026-01-18
za,2025-12-21,2026-01-04
africa_en,2025-12-17,2026-01-04
cn,2026-01-05,2026-01-15
hk,2025-12-18,2026-01-06
jp,2026-01-01,2026-01-13
