no,json_file,in_json_folder,in_mapping_csv,status
1,us_1_1_scom_da_traffic_web.json,O,O,정상
2,us_1_1_scom_mx_traffic_web.json,O,O,정상
3,us_1_1_scom_vd_traffic_web.json,O,O,정상
4,us_2_1_basic_traffic_cmp.json,O,O,정상
5,us_2_1_basic_traffic_scom.json,O,O,정상
6,us_2_1_basic_traffic_time_cmp.json,O,O,정상
7,us_2_1_basic_traffic_time_scom.json,O,O,정상
8,us_3_1_channel_internal_web.json,O,O,정상
9,us_3_2_channel_external_cmp.json,O,O,정상
10,us_3_2_channel_external_scom.json,O,O,정상
11,us_3_3_homepage_kv_gnb_to_cmp.json,O,O,정상
12,us_4_1_order_cvr_loginout.json,O,O,정상
13,us_4_2_order_cvr_visit_visitor.json,O,O,정상
14,us_5_1_campaign_order_cvr_total.json,O,O,정상
15,us_6_1_multi_order_cross_sell.json,O,O,정상
16,us_6_2_total_order_cross_sell.json,O,O,정상
17,us_6_3_cmp_order_cross_sell.json,O,O,정상
18,us_7_1_order_by_channel_cmp.json,O,O,정상
19,us_7_1_order_by_channel_scom.json,O,O,정상
20,us_8_1_login_cta.json,O,O,정상
21,us_nextpage.json,O,O,정상
22,us_multi_purchase.json,O,O,정상
23,us_bestselling.json,O,O,정상
