no,stem,in_json_folder,in_mapping_csv,used_in_nb,used_in_notebooks,status
1,1_1_scom_da_traffic_app,O,O,O,campaign_period,정상
2,1_1_scom_da_traffic_app_prior,O,O,O,prior_period,정상
3,1_1_scom_da_traffic_web,O,O,O,campaign_period,정상
4,1_1_scom_da_traffic_web_prior,O,O,O,prior_period,정상
5,1_1_scom_mx_traffic_app,O,O,O,campaign_period,정상
6,1_1_scom_mx_traffic_app_prior,O,O,O,prior_period,정상
7,1_1_scom_mx_traffic_web,O,O,O,campaign_period,정상
8,1_1_scom_mx_traffic_web_prior,O,O,O,prior_period,정상
9,1_1_scom_vd_traffic_app,O,O,O,campaign_period,정상
10,1_1_scom_vd_traffic_app_prior,O,O,O,prior_period,정상
11,1_1_scom_vd_traffic_web,O,O,O,campaign_period,정상
12,1_1_scom_vd_traffic_web_prior,O,O,O,prior_period,정상
13,2_1_basic_traffic_cmp,O,O,O,campaign_period,정상
14,2_1_basic_traffic_scom,O,O,O,campaign_period,정상
15,2_1_basic_traffic_scom_prior,O,O,O,prior_period,정상
16,2_1_basic_traffic_time_cmp,O,O,O,campaign_period,정상
17,2_1_basic_traffic_time_scom,O,O,O,campaign_period,정상
18,2_1_basic_traffic_time_scom_prior,O,O,O,prior_period,정상
19,3_1_channel_internal,O,O,O,campaign_period,정상
20,3_2_channel_external_cmp,O,O,O,campaign_period,정상
21,3_2_channel_external_scom,O,O,O,campaign_period,정상
22,3_2_channel_external_scom_prior,O,O,O,prior_period,정상
23,3_3_homepage_kv_gnb_to_cmp,O,O,O,campaign_period,정상
24,4_1_order_cvr_loginout,O,O,O,campaign_period,정상
25,4_2_order_cvr_visit_visitor,O,O,O,campaign_period,정상
26,5_1_campaign_order_cvr,O,O,O,campaign_period,정상
27,5_1_scom_order_cvr,O,O,O,campaign_period,정상
28,6_1_multi_order_cross_sell,O,O,O,campaign_period,정상
29,6_1_multi_order_cross_sell_prior,O,O,O,prior_period,정상
30,6_2_total_order_cross_sell,O,O,O,campaign_period,정상
31,6_2_total_order_cross_sell_prior,O,O,O,prior_period,정상
32,6_3_cmp_order_cross_sell,O,O,O,campaign_period,정상
33,7_1_order_by_channel_cmp,O,O,O,campaign_period,정상
