no,json_file,used,used_in_notebooks
1,25_ny_1_1_scom_da_traffic_app.json,O,25ny_last_campaign_period
2,25_ny_1_1_scom_da_traffic_web.json,O,25ny_last_campaign_period
3,25_ny_1_1_scom_mx_traffic_app.json,O,25ny_last_campaign_period
4,25_ny_1_1_scom_mx_traffic_web.json,O,25ny_last_campaign_period
5,25_ny_1_1_scom_vd_traffic_app.json,O,25ny_last_campaign_period
6,25_ny_1_1_scom_vd_traffic_web.json,O,25ny_last_campaign_period
7,25_ny_2_1_basic_traffic_cmp.json,O,25ny_last_campaign_period
8,25_ny_2_1_basic_traffic_scom.json,O,25ny_last_campaign_period
9,25_ny_2_1_basic_traffic_time.json,O,25ny_last_campaign_period
10,25_ny_3_1_channel_internal.json,O,25ny_last_campaign_period
11,25_ny_3_2_channel_external_scom.json,O,25ny_last_campaign_period
12,25_ny_3_2_channel_traffic_external.json,O,25ny_last_campaign_period
13,25_ny_3_3_homepage_kv_gnb_to_cmp.json,O,25ny_last_campaign_period
14,25_ny_4_1_order_cvr_loginout.json,O,25ny_last_campaign_period
15,25_ny_4_1_scom_order_cvr_loginout.json,O,25ny_last_campaign_period
16,25_ny_5_1_scom_campaign_order_cvr.json,O,25ny_last_campaign_period
17,25_ny_6_1_multi_order_cross_sell.json,O,25ny_last_campaign_period
18,25_ny_6_2_total_order_cross_sell.json,O,25ny_last_campaign_period
19,25_ny_6_3_cmp_order_cross_sell.json,O,25ny_last_campaign_period
20,25_ny_7_1_order_by_channel_cmp.json,O,25ny_last_campaign_period
21,25_ny_bestselling.json,O,25ny_last_campaign_period
22,26_ny_1_1_scom_da_traffic_app.json,O,26ny_campaign_period
23,26_ny_1_1_scom_da_traffic_app_prior.json,O,26ny_prior_period
24,26_ny_1_1_scom_da_traffic_web.json,O,26ny_campaign_period
25,26_ny_1_1_scom_da_traffic_web_prior.json,O,26ny_prior_period
26,26_ny_1_1_scom_mx_traffic_app.json,O,26ny_campaign_period
27,26_ny_1_1_scom_mx_traffic_app_prior.json,O,26ny_prior_period
28,26_ny_1_1_scom_mx_traffic_web.json,O,26ny_campaign_period
29,26_ny_1_1_scom_mx_traffic_web_prior.json,O,26ny_prior_period
30,26_ny_1_1_scom_vd_traffic_app.json,O,26ny_campaign_period
31,26_ny_1_1_scom_vd_traffic_app_prior.json,O,26ny_prior_period
32,26_ny_1_1_scom_vd_traffic_web.json,O,26ny_campaign_period
33,26_ny_1_1_scom_vd_traffic_web_prior.json,O,26ny_prior_period
34,26_ny_2_1_basic_traffic_cmp.json,O,26ny_campaign_period
35,26_ny_2_1_basic_traffic_scom.json,O,26ny_campaign_period
36,26_ny_2_1_basic_traffic_scom_prior.json,O,26ny_prior_period
37,26_ny_2_1_basic_traffic_time_cmp.json,O,26ny_campaign_period
38,26_ny_2_1_basic_traffic_time_scom.json,O,26ny_campaign_period
39,26_ny_2_1_basic_traffic_time_scom_prior.json,O,26ny_prior_period
40,26_ny_3_1_channel_internal.json,O,26ny_campaign_period
41,26_ny_3_2_channel_external_cmp.json,O,26ny_campaign_period
42,26_ny_3_2_channel_external_scom.json,O,26ny_campaign_period
43,26_ny_3_2_channel_external_scom_prior.json,O,26ny_prior_period
44,26_ny_3_3_homepage_kv_gnb_to_cmp.json,O,26ny_campaign_period
45,26_ny_4_1_order_cvr_loginout.json,O,26ny_campaign_period
46,26_ny_4_2_order_cvr_visit_visitor.json,O,26ny_campaign_period
47,26_ny_5_1_campaign_order_cvr.json,O,26ny_campaign_period
48,26_ny_5_1_scom_order_cvr.json,O,26ny_campaign_period
49,26_ny_6_1_multi_order_cross_sell.json,O,26ny_campaign_period
50,26_ny_6_1_multi_order_cross_sell_prior.json,O,26ny_prior_period
51,26_ny_6_2_total_order_cross_sell.json,O,26ny_campaign_period
52,26_ny_6_2_total_order_cross_sell_prior.json,O,26ny_prior_period
53,26_ny_6_3_cmp_order_cross_sell.json,O,26ny_campaign_period
54,26_ny_7_1_order_by_channel_cmp.json,O,26ny_campaign_period
55,26_ny_7_1_order_by_channel_scom.json,O,26ny_campaign_period
56,26_ny_7_1_order_by_channel_scom_prior.json,O,26ny_prior_period
57,26_ny_bestselling.json,O,26ny_campaign_period
58,26_ny_cc_order.json,X,
59,26_ny_cc_revenue.json,X,
60,26_ny_cc_visit.json,X,
61,26_ny_nextpage.json,O,26ny_campaign_period
62,26_ny_raw_multi_purchase_v41.json,O,26ny_campaign_period
63,26_ny_raw_multi_purchase_v41_prior.json,O,26ny_prior_period
