tb_key,file,status,matched_cnt,mapping_only_cnt,csv_only_cnt,matched,mapping_only,csv_only
25_ny_1_1_scom_da_traffic_app,25_ny_1_1_scom_da_traffic_app_20260306_154325.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
25_ny_1_1_scom_da_traffic_web,25_ny_1_1_scom_da_traffic_web_20260306_155752.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
25_ny_1_1_scom_mx_traffic_app,25_ny_1_1_scom_mx_traffic_app_20260306_155823.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
25_ny_1_1_scom_mx_traffic_web,25_ny_1_1_scom_mx_traffic_web_20260306_160535.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
25_ny_1_1_scom_vd_traffic_app,25_ny_1_1_scom_vd_traffic_app_20260306_160747.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
25_ny_1_1_scom_vd_traffic_web,25_ny_1_1_scom_vd_traffic_web_20260306_161646.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
25_ny_2_1_basic_traffic_cmp,25_ny_2_1_basic_traffic_cmp_20260310_105309.csv,✅ 정상,35,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24 / value25 / value26 / value27 / value28 / value29 / value30 / value31 / value32 / value33 / value34 / value35,,
25_ny_2_1_basic_traffic_scom,25_ny_2_1_basic_traffic_scom_20260306_161921.csv,✅ 정상,30,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24 / value25 / value26 / value27 / value28 / value29 / value30,,
25_ny_2_1_basic_traffic_time,25_ny_2_1_basic_traffic_time_20260306_162406.csv,✅ 정상,6,0,0,value1 / value2 / value3 / value4 / value5 / value6,,
25_ny_2_1_basic_traffic_time_cmp,25_ny_2_1_basic_traffic_time_cmp_20260310_110602.csv,❌ 매핑없음,,,,,,
25_ny_2_1_basic_traffic_time_scom,25_ny_2_1_basic_traffic_time_scom_20260306_162517.csv,❌ 매핑없음,,,,,,
25_ny_3_1_channel_internal,25_ny_3_1_channel_internal_20260310_110826.csv,✅ 정상,18,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18,,
25_ny_3_2_channel_external_cmp,25_ny_3_2_channel_external_cmp_20260310_111122.csv,❌ 매핑없음,,,,,,
25_ny_3_2_channel_external_scom,25_ny_3_2_channel_external_scom_20260306_162814.csv,❌ 매핑없음,,,,,,
25_ny_3_2_channel_traffic_external,25_ny_3_2_channel_traffic_external_20260306_162834.csv,✅ 정상,2,0,0,value1 / value2,,
25_ny_3_3_homepage_kv_gnb_to_cmp,25_ny_3_3_homepage_kv_gnb_to_cmp_20260310_111140.csv,✅ 정상,9,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9,,
25_ny_4_1_order_cvr_loginout,25_ny_4_1_order_cvr_loginout_20260310_111308.csv,✅ 정상,10,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10,,
25_ny_4_1_scom_order_cvr_loginout,25_ny_4_1_scom_order_cvr_loginout_20260306_165113.csv,✅ 정상,10,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10,,
25_ny_5_1_campaign_order_cvr,25_ny_5_1_campaign_order_cvr_20260310_112251.csv,❌ 매핑없음,,,,,,
25_ny_5_1_scom_campaign_order_cvr,25_ny_5_1_scom_campaign_order_cvr_20260306_165320.csv,✅ 정상,9,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9,,
25_ny_5_1_scom_order_cvr,25_ny_5_1_scom_order_cvr_20260306_165352.csv,❌ 매핑없음,,,,,,
25_ny_6_1_multi_order_cross_sell,25_ny_6_1_multi_order_cross_sell_20260306_165432.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
25_ny_6_2_total_order_cross_sell,25_ny_6_2_total_order_cross_sell_20260306_165655.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
25_ny_7_1_order_by_channel_cmp,25_ny_7_1_order_by_channel_cmp_20260310_130742.csv,✅ 정상,3,0,0,value1 / value2 / value3,,
25_ny_bestselling,25_ny_bestselling_20260306_165946.csv,✅ 정상,4,0,0,value1 / value2 / value3 / value4,,
25_ny_raw_multi_purchase_v41,25_ny_raw_multi_purchase_v41_20260306_165934.csv,✅ 정상,6,0,0,value1 / value2 / value3 / value4 / value5 / value6,,
26_ny_1_1_scom_da_traffic_app,26_ny_1_1_scom_da_traffic_app_20260306_154315.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
26_ny_1_1_scom_da_traffic_app_prior,26_ny_1_1_scom_da_traffic_app_prior_20260306_154328.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
26_ny_1_1_scom_da_traffic_web,26_ny_1_1_scom_da_traffic_web_20260306_155657.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
26_ny_1_1_scom_da_traffic_web_prior,26_ny_1_1_scom_da_traffic_web_prior_20260306_155639.csv,✅ 정상,16,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16,,
26_ny_1_1_scom_mx_traffic_app,26_ny_1_1_scom_mx_traffic_app_20260306_155724.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
26_ny_1_1_scom_mx_traffic_app_prior,26_ny_1_1_scom_mx_traffic_app_prior_20260306_155710.csv,✅ 정상,24,0,0,value1 / value2 / value3 / value4 / value5 / value6 / value7 / value8 / value9 / value10 / value11 / value12 / value13 / value14 / value15 / value16 / value17 / value18 / value19 / value20 / value21 / value22 / value23 / value24,,
