tb,value_n,column
25_ny_1_1_scom_da_traffic_app,value1,1_1_da_2025_scom_app_visit_null_visit
25_ny_1_1_scom_da_traffic_app,value2,1_1_da_2025_scom_android_visit_null_visit
25_ny_1_1_scom_da_traffic_app,value3,1_1_da_2025_scom_ios_visit_null_visit
25_ny_1_1_scom_da_traffic_app,value4,1_1_da_2025_scom_app_visit_null_uniquevisitor
25_ny_1_1_scom_da_traffic_app,value5,1_1_da_2025_scom_android_visit_null_uniquevisitor
25_ny_1_1_scom_da_traffic_app,value6,1_1_da_2025_scom_ios_visit_null_uniquevisitor
25_ny_1_1_scom_da_traffic_app,value7,1_1_da_2025_scom_app_visit_null_nonbouncedvisit
25_ny_1_1_scom_da_traffic_app,value8,1_1_da_2025_scom_android_visit_null_nonbouncedvisit
25_ny_1_1_scom_da_traffic_app,value9,1_1_da_2025_scom_ios_visit_null_nonbouncedvisit
25_ny_1_1_scom_da_traffic_app,value10,1_1_da_2025_scom_app_visit_null_pageview
25_ny_1_1_scom_da_traffic_app,value11,1_1_da_2025_scom_android_visit_null_pageview
25_ny_1_1_scom_da_traffic_app,value12,1_1_da_2025_scom_ios_visit_null_pageview
25_ny_1_1_scom_da_traffic_app,value13,1_1_da_2025_scom_app_visit_null_entry
25_ny_1_1_scom_da_traffic_app,value14,1_1_da_2025_scom_android_visit_null_entry
25_ny_1_1_scom_da_traffic_app,value15,1_1_da_2025_scom_ios_visit_null_entry
25_ny_1_1_scom_da_traffic_app,value16,1_1_da_2025_scom_app_visit_null_bounce
25_ny_1_1_scom_da_traffic_app,value17,1_1_da_2025_scom_android_visit_null_bounce
25_ny_1_1_scom_da_traffic_app,value18,1_1_da_2025_scom_ios_visit_null_bounce
25_ny_1_1_scom_da_traffic_app,value19,1_1_da_2025_scom_app_visit_null_order
25_ny_1_1_scom_da_traffic_app,value20,1_1_da_2025_scom_android_visit_null_order
25_ny_1_1_scom_da_traffic_app,value21,1_1_da_2025_scom_ios_visit_null_order
25_ny_1_1_scom_da_traffic_app,value22,1_1_da_2025_scom_app_visit_null_revenue
25_ny_1_1_scom_da_traffic_app,value23,1_1_da_2025_scom_android_visit_null_revenue
25_ny_1_1_scom_da_traffic_app,value24,1_1_da_2025_scom_ios_visit_null_revenue
25_ny_1_1_scom_da_traffic_web,value1,1_1_da_2025_scom_pc_visit_null_visit
25_ny_1_1_scom_da_traffic_web,value2,1_1_da_2025_scom_mobile_visit_null_visit
25_ny_1_1_scom_da_traffic_web,value3,1_1_da_2025_scom_pc_visit_null_uniquevisitor
25_ny_1_1_scom_da_traffic_web,value4,1_1_da_2025_scom_mobile_visit_null_uniquevisitor
25_ny_1_1_scom_da_traffic_web,value5,1_1_da_2025_scom_pc_visit_null_nonbouncedvisit
25_ny_1_1_scom_da_traffic_web,value6,1_1_da_2025_scom_mobile_visit_null_nonbouncedvisit
25_ny_1_1_scom_da_traffic_web,value7,1_1_da_2025_scom_pc_visit_null_pageview
25_ny_1_1_scom_da_traffic_web,value8,1_1_da_2025_scom_mobile_visit_null_pageview
25_ny_1_1_scom_da_traffic_web,value9,1_1_da_2025_scom_pc_visit_null_entry
25_ny_1_1_scom_da_traffic_web,value10,1_1_da_2025_scom_mobile_visit_null_entry
25_ny_1_1_scom_da_traffic_web,value11,1_1_da_2025_scom_pc_visit_null_bounce
25_ny_1_1_scom_da_traffic_web,value12,1_1_da_2025_scom_mobile_visit_null_bounce
25_ny_1_1_scom_da_traffic_web,value13,1_1_da_2025_scom_pc_visit_null_order
25_ny_1_1_scom_da_traffic_web,value14,1_1_da_2025_scom_mobile_visit_null_order
25_ny_1_1_scom_da_traffic_web,value15,1_1_da_2025_scom_pc_visit_null_revenue
25_ny_1_1_scom_da_traffic_web,value16,1_1_da_2025_scom_mobile_visit_null_revenue
25_ny_1_1_scom_mx_traffic_app,value1,1_1_mx_2025_scom_app_visit_null_visit
25_ny_1_1_scom_mx_traffic_app,value2,1_1_mx_2025_scom_android_visit_null_visit
25_ny_1_1_scom_mx_traffic_app,value3,1_1_mx_2025_scom_ios_visit_null_visit
25_ny_1_1_scom_mx_traffic_app,value4,1_1_mx_2025_scom_app_visit_null_uniquevisitor
25_ny_1_1_scom_mx_traffic_app,value5,1_1_mx_2025_scom_android_visit_null_uniquevisitor
25_ny_1_1_scom_mx_traffic_app,value6,1_1_mx_2025_scom_ios_visit_null_uniquevisitor
25_ny_1_1_scom_mx_traffic_app,value7,1_1_mx_2025_scom_app_visit_null_nonbouncedvisit
25_ny_1_1_scom_mx_traffic_app,value8,1_1_mx_2025_scom_android_visit_null_nonbouncedvisit
25_ny_1_1_scom_mx_traffic_app,value9,1_1_mx_2025_scom_ios_visit_null_nonbouncedvisit
25_ny_1_1_scom_mx_traffic_app,value10,1_1_mx_2025_scom_app_visit_null_pageview
25_ny_1_1_scom_mx_traffic_app,value11,1_1_mx_2025_scom_android_visit_null_pageview
25_ny_1_1_scom_mx_traffic_app,value12,1_1_mx_2025_scom_ios_visit_null_pageview
25_ny_1_1_scom_mx_traffic_app,value13,1_1_mx_2025_scom_app_visit_null_entry
25_ny_1_1_scom_mx_traffic_app,value14,1_1_mx_2025_scom_android_visit_null_entry
25_ny_1_1_scom_mx_traffic_app,value15,1_1_mx_2025_scom_ios_visit_null_entry
25_ny_1_1_scom_mx_traffic_app,value16,1_1_mx_2025_scom_app_visit_null_bounce
25_ny_1_1_scom_mx_traffic_app,value17,1_1_mx_2025_scom_android_visit_null_bounce
