Site_Code,Start_Date,End_Date
ca,2026-01-02,2026-01-26
ca_fr,2026-01-02,2026-01-26
uk,2026-01-19,2026-01-26
de,2026-01-20,2026-01-26
es,2026-01-19,2026-01-26
it,2026-01-21,2026-01-26
ro,2026-01-21,2026-01-26
pl,2026-01-19,2026-01-26
hu,2026-01-19,2026-01-26
hr,2026-01-19,2026-01-26
si,2026-01-19,2026-01-26
ua,2026-01-19,2026-01-26
br,2026-01-19,2026-01-26
mx,2026-01-12,2026-01-26
cl,2026-01-06,2026-01-25
co,2026-01-08,2026-01-26
ar,2026-01-05,2026-01-11
latin,2026-01-05,2026-01-26
latin_en,2026-01-05,2026-01-26
py,2026-01-23,2026-01-26
uy,2026-01-23,2026-01-26
pe,2026-01-05,2026-01-26
ph,2026-01-05,2026-01-26
id,2026-01-02,2026-01-25
th,2026-01-05,2026-01-26
my,2026-01-05,2026-01-26
sg,2026-01-13,2026-01-26
ae,2026-01-23,2026-01-26
ae_ar,2026-01-23,2026-01-26
tr,2026-01-19,2026-01-26
levant,2026-01-18,2026-01-26
levant_ar,2026-01-18,2026-01-26
sa,2026-01-19,2026-01-26
sa_en,2026-01-19,2026-01-26
pk,2026-01-16,2026-01-26
kz_kz,2026-01-19,2026-01-26
kz_ru,2026-01-19,2026-01-26
mn,2026-01-19,2026-01-26
za,2026-01-05,2026-01-19
africa_en,2026-01-05,2026-01-23
cn,2026-01-16,2026-01-26
hk,2026-01-07,2026-01-26
jp,2026-01-14,2026-01-26
