base_file,prior_file,status,metric_base,metric_prior,only_in_base,only_in_prior
main/1_1_scom_da_traffic_app.json,1_1_scom_da_traffic_app_prior.json,정상(동일),24,24,,
main/1_1_scom_da_traffic_web.json,1_1_scom_da_traffic_web_prior.json,정상(동일),16,16,,
main/1_1_scom_mx_traffic_app.json,1_1_scom_mx_traffic_app_prior.json,정상(동일),24,24,,
main/1_1_scom_mx_traffic_web.json,1_1_scom_mx_traffic_web_prior.json,정상(동일),16,16,,
main/1_1_scom_vd_traffic_app.json,1_1_scom_vd_traffic_app_prior.json,정상(동일),24,24,,
main/1_1_scom_vd_traffic_web.json,1_1_scom_vd_traffic_web_prior.json,정상(동일),16,16,,
main/2_1_basic_traffic_cmp.json,2_1_basic_traffic_cmp_prior.json,prior파일없음,,,,
main/2_1_basic_traffic_scom.json,2_1_basic_traffic_scom_prior.json,정상(동일),30,30,,
main/2_1_basic_traffic_time_cmp.json,2_1_basic_traffic_time_cmp_prior.json,prior파일없음,,,,
main/2_1_basic_traffic_time_scom.json,2_1_basic_traffic_time_scom_prior.json,정상(동일),6,6,,
main/3_1_channel_internal.json,3_1_channel_internal_prior.json,prior파일없음,,,,
main/3_2_channel_external_cmp.json,3_2_channel_external_cmp_prior.json,prior파일없음,,,,
main/3_2_channel_external_scom.json,3_2_channel_external_scom_prior.json,정상(동일),4,4,,
main/3_3_homepage_kv_gnb_to_cmp.json,3_3_homepage_kv_gnb_to_cmp_prior.json,prior파일없음,,,,
main/4_1_order_cvr_loginout.json,4_1_order_cvr_loginout_prior.json,prior파일없음,,,,
main/4_2_order_cvr_visit_visitor.json,4_2_order_cvr_visit_visitor_prior.json,prior파일없음,,,,
main/5_1_campaign_order_cvr.json,5_1_campaign_order_cvr_prior.json,prior파일없음,,,,
main/5_1_scom_order_cvr.json,5_1_scom_order_cvr_prior.json,prior파일없음,,,,
main/6_1_multi_order_cross_sell.json,6_1_multi_order_cross_sell_prior.json,정상(동일),16,16,,
main/6_2_total_order_cross_sell.json,6_2_total_order_cross_sell_prior.json,정상(동일),16,16,,
main/6_3_cmp_order_cross_sell.json,6_3_cmp_order_cross_sell_prior.json,prior파일없음,,,,
main/7_1_order_by_channel_cmp.json,7_1_order_by_channel_cmp_prior.json,prior파일없음,,,,
main/7_1_order_by_channel_scom.json,7_1_order_by_channel_scom_prior.json,정상(동일),6,6,,
main/8_1_login_cta.json,8_1_login_cta_prior.json,prior파일없음,,,,
main/bestselling.json,bestselling_prior.json,prior파일없음,,,,
main/multi_purchase.json,multi_purchase_prior.json,정상(동일),6,6,,
main/nextpage.json,nextpage_prior.json,prior파일없음,,,,
us_main/us_1_1_scom_da_traffic_web.json,us_1_1_scom_da_traffic_web_prior.json,정상(동일),16,16,,
us_main/us_1_1_scom_mx_traffic_web.json,us_1_1_scom_mx_traffic_web_prior.json,정상(동일),16,16,,
us_main/us_1_1_scom_vd_traffic_web.json,us_1_1_scom_vd_traffic_web_prior.json,정상(동일),16,16,,
us_main/us_2_1_basic_traffic_cmp.json,us_2_1_basic_traffic_cmp_prior.json,prior파일없음,,,,
us_main/us_2_1_basic_traffic_scom.json,us_2_1_basic_traffic_scom_prior.json,정상(동일),12,12,,
us_main/us_2_1_basic_traffic_time_cmp.json,us_2_1_basic_traffic_time_cmp_prior.json,prior파일없음,,,,
us_main/us_2_1_basic_traffic_time_scom.json,us_2_1_basic_traffic_time_scom_prior.json,정상(동일),3,3,,
us_main/us_3_1_channel_internal_web.json,us_3_1_channel_internal_web_prior.json,prior파일없음,,,,
us_main/us_3_2_channel_external_cmp.json,us_3_2_channel_external_cmp_prior.json,prior파일없음,,,,
us_main/us_3_2_channel_external_scom.json,us_3_2_channel_external_scom_prior.json,정상(동일),2,2,,
us_main/us_3_3_homepage_kv_gnb_to_cmp.json,us_3_3_homepage_kv_gnb_to_cmp_prior.json,prior파일없음,,,,
us_main/us_4_1_order_cvr_loginout.json,us_4_1_order_cvr_loginout_prior.json,prior파일없음,,,,
us_main/us_4_2_order_cvr_visit_visitor.json,us_4_2_order_cvr_visit_visitor_prior.json,prior파일없음,,,,
us_main/us_5_1_campaign_order_cvr_total.json,us_5_1_campaign_order_cvr_total_prior.json,prior파일없음,,,,
us_main/us_6_1_multi_order_cross_sell.json,us_6_1_multi_order_cross_sell_prior.json,정상(동일),16,16,,
us_main/us_6_2_total_order_cross_sell.json,us_6_2_total_order_cross_sell_prior.json,정상(동일),16,16,,
us_main/us_6_3_cmp_order_cross_sell.json,us_6_3_cmp_order_cross_sell_prior.json,prior파일없음,,,,
us_main/us_7_1_order_by_channel_cmp.json,us_7_1_order_by_channel_cmp_prior.json,prior파일없음,,,,
us_main/us_7_1_order_by_channel_scom.json,us_7_1_order_by_channel_scom_prior.json,정상(동일),3,3,,
us_main/us_8_1_login_cta.json,us_8_1_login_cta_prior.json,prior파일없음,,,,
us_main/us_bestselling.json,us_bestselling_prior.json,prior파일없음,,,,
us_main/us_multi_purchase.json,us_multi_purchase_prior.json,정상(동일),6,6,,
us_main/us_nextpage.json,us_nextpage_prior.json,prior파일없음,,,,
