no,json_file,in_json_folder,in_mapping_csv,status
1,1_1_scom_da_traffic_app.json,O,O,정상
2,1_1_scom_da_traffic_web.json,O,O,정상
3,1_1_scom_mx_traffic_app.json,O,O,정상
4,1_1_scom_mx_traffic_web.json,O,O,정상
5,1_1_scom_vd_traffic_app.json,O,O,정상
6,1_1_scom_vd_traffic_web.json,O,O,정상
7,2_1_basic_traffic_cmp.json,O,O,정상
8,2_1_basic_traffic_scom.json,O,O,정상
9,2_1_basic_traffic_time_cmp.json,O,O,정상
10,2_1_basic_traffic_time_scom.json,O,O,정상
11,3_1_channel_internal.json,O,O,정상
12,3_2_channel_external_cmp.json,O,O,정상
13,3_2_channel_external_scom.json,O,O,정상
14,3_3_homepage_kv_gnb_to_cmp.json,O,O,정상
15,4_1_order_cvr_loginout.json,O,O,정상
16,4_2_order_cvr_visit_visitor.json,O,O,정상
17,5_1_scom_order_cvr.json,O,O,정상
18,5_1_campaign_order_cvr.json,O,O,정상
19,6_1_multi_order_cross_sell.json,O,O,정상
20,6_2_total_order_cross_sell.json,O,O,정상
21,6_3_cmp_order_cross_sell.json,O,O,정상
22,7_1_order_by_channel_cmp.json,O,O,정상
23,7_1_order_by_channel_scom.json,O,O,정상
24,8_1_login_cta.json,O,O,정상
25,nextpage.json,O,O,정상
26,multi_purchase.json,O,O,정상
27,bestselling.json,O,O,정상
