no,json_file,in_json_folder,in_mapping_csv,status
1,last_1_1_scom_da_traffic_app.json,O,O,정상
2,last_1_1_scom_da_traffic_web.json,O,O,정상
3,last_1_1_scom_mx_traffic_app.json,O,O,정상
4,last_1_1_scom_mx_traffic_web.json,O,O,정상
5,last_1_1_scom_vd_traffic_app.json,O,O,정상
6,last_1_1_scom_vd_traffic_web.json,O,O,정상
7,last_2_1_basic_traffic_cmp.json,O,O,정상
8,last_2_1_basic_traffic_scom.json,O,O,정상
9,last_2_1_basic_traffic_time.json,O,O,정상
10,last_3_1_channel_internal.json,O,O,정상
11,last_3_2_channel_traffic_external.json,O,O,정상
12,last_3_3_homepage_kv_gnb_to_cmp.json,O,O,정상
13,last_4_1_order_cvr_loginout.json,O,O,정상
14,last_4_1_scom_order_cvr_loginout.json,O,O,정상
15,last_5_1_scom_campaign_order_cvr.json,O,O,정상
16,last_6_1_multi_order_cross_sell.json,O,O,정상
17,last_6_2_total_order_cross_sell.json,O,O,정상
18,last_6_3_cmp_order_cross_sell.json,O,O,정상
19,last_7_1_order_by_channel_cmp.json,O,O,정상
20,last_bestselling.json,O,O,정상
