site_code,App 론치 (O/X)
ae,O
ae_ar,O
africa_en,X
africa_fr,X
africa_pt,X
al,X
ar,X
at,O
au,O
az,X
ba,X
bd,X
be,X
be_fr,X
bg,X
br,O
ca,O
ca_fr,O
ch,X
ch_fr,X
cl,O
cn,O
co,O
cz,O
de,O
dk,X
ee,X
eg,X
es,O
fi,X
fr,O
ge,X
gr,X
hk,O
hk_en,X
hr,X
hu,O
id,O
ie,X
il,X
in,O
iq_ar,X
iq_ku,X
iran,X
it,O
jp,X
kz_kz,X
kz_ru,X
latin,X
latin_en,X
lb,X
levant,X
levant_ar,X
lt,X
lv,X
mk,X
mm,X
mn,X
mx,O
my,O
n_africa,X
nl,O
no,X
nz,O
pe,O
ph,O
pk,X
pl,O
ps,X
pt,X
py,X
ro,O
rs,X
ru,X
sa,O
sa_en,O
se,O
sec,O
sg,O
si,X
sk,X
th,O
tr,O
tw,O
ua,X
uk,O
us,O
uy,X
uz_ru,X
uz_uz,X
vn,O
za,O
